7Networks_LH_SalVentAttn_Med_2,-2.932777
7Networks_LH_SalVentAttn_Med_3,-3.675515
7Networks_LH_Limbic_OFC_1,2.622646
7Networks_LH_Limbic_OFC_2,4.795178
7Networks_LH_Limbic_TempPole_1,1.459356
7Networks_LH_Limbic_TempPole_2,1.987642
7Networks_LH_Limbic_TempPole_3,2.270097
7Networks_LH_Limbic_TempPole_4,-1.144897
7Networks_LH_Cont_Par_1,5.635272
7Networks_LH_Cont_Par_2,4.451041
7Networks_LH_Cont_Par_3,2.261169
7Networks_LH_Cont_Temp_1,5.297429
7Networks_LH_Cont_OFC_1,3.08757
7Networks_LH_Cont_PFCl_1,5.598525
7Networks_LH_Cont_PFCl_2,4.301417
7Networks_LH_Cont_PFCl_3,1.407982
7Networks_LH_Cont_PFCl_4,3.443615
7Networks_LH_Cont_PFCl_5,2.599514
7Networks_LH_Cont_pCun_1,1.676785
7Networks_LH_Cont_Cing_1,0.8127113
7Networks_LH_Cont_Cing_2,0.9020344
7Networks_LH_Default_Temp_1,5.628191
7Networks_LH_Default_Temp_2,6.135206
7Networks_LH_Default_Temp_3,3.292287
7Networks_LH_Default_Temp_4,4.909417
7Networks_LH_Default_Temp_5,0.2298808
7Networks_LH_Default_Par_1,2.075537
7Networks_LH_Default_Par_2,1.617631
7Networks_LH_Default_Par_3,5.932909
7Networks_LH_Default_Par_4,6.486983
7Networks_LH_Default_PFC_1,4.007379
7Networks_LH_Default_PFC_2,4.940915
7Networks_LH_Default_PFC_3,4.716926
7Networks_LH_Default_PFC_4,5.968542
7Networks_LH_Default_PFC_5,4.855824
7Networks_LH_Default_PFC_6,3.800377
7Networks_LH_Default_PFC_7,6.258776
7Networks_LH_Default_PFC_8,-0.1309478
7Networks_LH_Default_PFC_9,6.553469
7Networks_LH_Default_PFC_10,4.85961
7Networks_LH_Default_PFC_11,6.341985
7Networks_LH_Default_PFC_12,5.392608
7Networks_LH_Default_PFC_13,4.118055
7Networks_LH_Default_pCunPCC_1,2.504071
7Networks_LH_Default_pCunPCC_2,6.100484
7Networks_LH_Default_pCunPCC_3,5.005382
7Networks_LH_Default_pCunPCC_4,3.785671
7Networks_LH_Default_PHC_1,1.58499
7Networks_RH_Vis_1,-1.660567
7Networks_RH_Vis_2,-1.050241
7Networks_RH_Vis_3,-4.232419
7Networks_RH_Vis_4,-4.411217
7Networks_RH_Vis_5,-4.123806
7Networks_RH_Vis_6,-2.70695
7Networks_RH_Vis_7,-3.409477
7Networks_RH_Vis_8,-1.615105
7Networks_RH_Vis_9,-3.980529
7Networks_RH_Vis_10,-4.180326
7Networks_RH_Vis_11,-4.038817
7Networks_RH_Vis_12,-4.411273
7Networks_RH_Vis_13,-4.449637
7Networks_RH_Vis_14,-4.471452
7Networks_RH_Vis_15,-2.969357
7Networks_RH_SomMot_1,-3.611337
7Networks_RH_SomMot_2,-3.253869
7Networks_RH_SomMot_3,-4.462197
7Networks_RH_SomMot_4,-4.469579
7Networks_RH_SomMot_5,-3.924229
7Networks_RH_SomMot_6,-4.556273
7Networks_RH_SomMot_7,-4.784943
7Networks_RH_SomMot_8,-3.860681
7Networks_RH_SomMot_9,-5.30347
7Networks_RH_SomMot_10,-4.695517
7Networks_RH_SomMot_11,-5.199314
7Networks_RH_SomMot_12,-5.332851
7Networks_RH_SomMot_13,-4.986683
7Networks_RH_SomMot_14,-5.234988
7Networks_RH_SomMot_15,-5.244205
7Networks_RH_SomMot_16,-4.838849
7Networks_RH_SomMot_17,-5.189883
7Networks_RH_SomMot_18,-5.243155
7Networks_RH_SomMot_19,-4.921512
7Networks_RH_DorsAttn_Post_1,-2.475114
7Networks_RH_DorsAttn_Post_2,-2.619112
7Networks_RH_DorsAttn_Post_3,-4.041421
7Networks_RH_DorsAttn_Post_4,0.7099478
7Networks_RH_DorsAttn_Post_5,-4.197941
7Networks_RH_DorsAttn_Post_6,-1.171154
7Networks_RH_DorsAttn_Post_7,-1.860598
7Networks_RH_DorsAttn_Post_8,-3.200537
7Networks_RH_DorsAttn_Post_9,-2.397682
7Networks_RH_DorsAttn_Post_10,-4.417299
7Networks_RH_DorsAttn_FEF_1,-3.052269
7Networks_RH_DorsAttn_FEF_2,-0.6455281
7Networks_RH_DorsAttn_PrCv_1,-0.5488306
7Networks_RH_SalVentAttn_TempOccPar_1,0.4401748
7Networks_RH_SalVentAttn_TempOccPar_2,-1.776238
7Networks_RH_SalVentAttn_TempOccPar_3,-2.743661
7Networks_RH_SalVentAttn_PrC_1,-1.65805
7Networks_RH_SalVentAttn_FrOperIns_1,-2.362771
7Networks_RH_SalVentAttn_FrOperIns_2,-3.178464
7Networks_RH_SalVentAttn_FrOperIns_3,-0.8475935
7Networks_RH_SalVentAttn_FrOperIns_4,-2.611934
7Networks_RH_SalVentAttn_Med_1,-3.247701
7Networks_RH_SalVentAttn_Med_2,-2.837895
7Networks_RH_SalVentAttn_Med_3,-2.801421
7Networks_RH_Limbic_OFC_1,4.499772
7Networks_RH_Limbic_OFC_2,3.159993
7Networks_RH_Limbic_OFC_3,5.51165
7Networks_RH_Limbic_TempPole_1,2.266286
7Networks_RH_Limbic_TempPole_2,1.958084
7Networks_RH_Limbic_TempPole_3,1.626027
7Networks_RH_Cont_Par_1,1.70568
7Networks_RH_Cont_Par_2,4.405888
7Networks_RH_Cont_Par_3,4.087524
7Networks_RH_Cont_Temp_1,3.787923
7Networks_RH_Cont_PFCv_1,2.381247
7Networks_RH_Cont_PFCl_1,4.497459
7Networks_RH_Cont_PFCl_2,4.981259
7Networks_RH_Cont_PFCl_3,1.623724
7Networks_RH_Cont_PFCl_4,2.528905
7Networks_RH_Cont_PFCl_5,0.3447856
7Networks_RH_Cont_PFCl_6,3.014586
7Networks_RH_Cont_PFCl_7,5.39571
7Networks_RH_Cont_pCun_1,1.246745
7Networks_RH_Cont_Cing_1,1.43313
7Networks_RH_Cont_Cing_2,0.6250039
7Networks_RH_Cont_PFCmp_1,0.3912288
7Networks_RH_Cont_PFCmp_2,3.695354
7Networks_RH_Default_Par_1,2.238058
7Networks_RH_Default_Par_2,5.527129
7Networks_RH_Default_Par_3,6.023343
7Networks_RH_Default_Temp_1,4.693077
7Networks_RH_Default_Temp_2,5.961505
7Networks_RH_Default_Temp_3,0.6028538
7Networks_RH_Default_Temp_4,5.957775
7Networks_RH_Default_Temp_5,0.353662
7Networks_RH_Default_PFCv_1,3.597813
7Networks_RH_Default_PFCdPFCm_1,5.013009
7Networks_RH_Default_PFCdPFCm_2,3.690807
7Networks_RH_Default_PFCdPFCm_3,-0.0233469
7Networks_RH_Default_PFCdPFCm_4,6.166873
7Networks_RH_Default_PFCdPFCm_5,6.371935
7Networks_RH_Default_PFCdPFCm_6,4.733204
7Networks_RH_Default_PFCdPFCm_7,4.803643
7Networks_RH_Default_pCunPCC_1,2.1431
7Networks_RH_Default_pCunPCC_2,5.568908
7Networks_RH_Default_pCunPCC_3,2.532435
