2001,Precentral_L
2002,Precentral_R
2101,Frontal_Sup_L
2102,Frontal_Sup_R
2111,Frontal_Sup_Orb_L
2112,Frontal_Sup_Orb_R
2201,Frontal_Mid_L
2202,Frontal_Mid_R
2211,Frontal_Mid_Orb_L
2212,Frontal_Mid_Orb_R
2301,Frontal_Inf_Oper_L
2302,Frontal_Inf_Oper_R
2311,Frontal_Inf_Tri_L
2312,Frontal_Inf_Tri_R
2321,Frontal_Inf_Orb_L
2322,Frontal_Inf_Orb_R
2331,Rolandic_Oper_L
2332,Rolandic_Oper_R
2401,Supp_Motor_Area_L
2402,Supp_Motor_Area_R
2501,Olfactory_L
2502,Olfactory_R
2601,Frontal_Sup_Medial_L
2602,Frontal_Sup_Medial_R
2611,Frontal_Med_Orb_L
2612,Frontal_Med_Orb_R
2701,Rectus_L
2702,Rectus_R
3001,Insula_L
3002,Insula_R
4001,Cingulum_Ant_L
4002,Cingulum_Ant_R
4011,Cingulum_Mid_L
4012,Cingulum_Mid_R
4021,Cingulum_Post_L
4022,Cingulum_Post_R
4101,Hippocampus_L
4102,Hippocampus_R
4111,ParaHippocampal_L
4112,ParaHippocampal_R
4201,Amygdala_L
4202,Amygdala_R
5001,Calcarine_L
5002,Calcarine_R
5011,Cuneus_L
5012,Cuneus_R
5021,Lingual_L
5022,Lingual_R
5101,Occipital_Sup_L
5102,Occipital_Sup_R
5201,Occipital_Mid_L
5202,Occipital_Mid_R
5301,Occipital_Inf_L
5302,Occipital_Inf_R
5401,Fusiform_L
5402,Fusiform_R
6001,Postcentral_L
6002,Postcentral_R
6101,Parietal_Sup_L
6102,Parietal_Sup_R
6201,Parietal_Inf_L
6202,Parietal_Inf_R
6211,SupraMarginal_L
6212,SupraMarginal_R
6221,Angular_L
6222,Angular_R
6301,Precuneus_L
6302,Precuneus_R
6401,Paracentral_Lobule_L
6402,Paracentral_Lobule_R
7001,Caudate_L
7002,Caudate_R
7011,Putamen_L
7012,Putamen_R
7021,Pallidum_L
7022,Pallidum_R
7101,Thalamus_L
7102,Thalamus_R
8101,Heschl_L
8102,Heschl_R
8111,Temporal_Sup_L
8112,Temporal_Sup_R
8121,Temporal_Pole_Sup_L
8122,Temporal_Pole_Sup_R
8201,Temporal_Mid_L
8202,Temporal_Mid_R
8211,Temporal_Pole_Mid_L
8212,Temporal_Pole_Mid_R
8301,Temporal_Inf_L
8302,Temporal_Inf_R
9001,Cerebelum_Crus1_L
9002,Cerebelum_Crus1_R
9011,Cerebelum_Crus2_L
9012,Cerebelum_Crus2_R
9021,Cerebelum_3_L
9022,Cerebelum_3_R
9031,Cerebelum_4_5_L
9032,Cerebelum_4_5_R
9041,Cerebelum_6_L
9042,Cerebelum_6_R
9051,Cerebelum_7b_L
9052,Cerebelum_7b_R
9061,Cerebelum_8_L
9062,Cerebelum_8_R
9071,Cerebelum_9_L
9072,Cerebelum_9_R
9081,Cerebelum_10_L
9082,Cerebelum_10_R
9100,Vermis_1_2
9110,Vermis_3
9120,Vermis_4_5
9130,Vermis_6
9140,Vermis_7
9150,Vermis_8
9160,Vermis_9
9170,Vermis_10
1,LH_Vis_1
2,LH_Vis_2
3,LH_Vis_3
4,LH_Vis_4
5,LH_Vis_5
6,LH_Vis_6
7,LH_Vis_7
8,LH_Vis_8
9,LH_Vis_9
10,LH_Vis_10
11,LH_Vis_11
12,LH_Vis_12
13,LH_Vis_13
14,LH_Vis_14
15,LH_SomMot_1
16,LH_SomMot_2
17,LH_SomMot_3
18,LH_SomMot_4
19,LH_SomMot_5
20,LH_SomMot_6
21,LH_SomMot_7
22,LH_SomMot_8
23,LH_SomMot_9
24,LH_SomMot_10
25,LH_SomMot_11
26,LH_SomMot_12
